time elapsed (wall):   133.2956
time running program:  133.1488  (99.89%)
time profiling (est.): 0.1468  (0.11%)
number of calls:       11215


%Time    Sec.     #calls   sec/call  F  name

 0.00    0.0002       51   0.000003     Sub::Util::set_prototype
 0.00    0.0002        1   0.000168     POSIX::import
 0.00    0.0002        1   0.000165     <anon>:...local/share/perl5/Carp.pm:26
 0.00    0.0002        3   0.000052     UNIVERSAL::VERSION
 0.00    0.0001        2   0.000075     Fatal::_one_invocation
 0.00    0.0001       30   0.000005     Internals::SvREADONLY
 0.00    0.0001        1   0.000145     Fatal::_translate_import_args
 0.00    0.0001        1   0.000144     feature::__common
 0.00    0.0001        3   0.000048     Carp::_fetch_sub
 0.00    0.0001        3   0.000047     warnings::register::import
 0.00    0.0001        1   0.000139     attributes::import
 0.00    0.0001        6   0.000023     warnings::_mkMask
 0.00    0.0001        4   0.000033     Config::FETCH
 0.00    0.0001        1   0.000128     Data::Dumper::bootstrap
 0.00    0.0001        4   0.000032     Encode::find_encoding
 0.00    0.0001        1   0.000126     <anon>:...ocal/share/perl5/Carp.pm:146
 0.00    0.0001        4   0.000031     Attribute::Handlers::_gen_handler_AH_
 0.00    0.0001        1   0.000120     warnings::_error_loc
 0.00    0.0001        1   0.000120     <anon>:...m/perl5/lib/perl5/Fatal.pm:5
 0.00    0.0001        1   0.000117     Data::Dumper::new
 0.00    0.0001       10   0.000012     DynaLoader::dl_find_symbol
 0.00    0.0001        1   0.000115     <anon>:...ead-multi/Data/Dumper.pm:278
 0.00    0.0001       28   0.000004     mro::method_changed_in
 0.00    0.0001        1   0.000107     <anon>:...ib/perl5/autodie/Util.pm:130
 0.00    0.0001        2   0.000053     Config::import
 0.00    0.0001        1   0.000106     autodie::Util::fill_protos
 0.00    0.0001        1   0.000099     <anon>:...x-thread-multi/Encode.pm:178
 0.00    0.0001        1   0.000095     <anon>:...read-multi/Scalar/Util.pm:10
 0.00    0.0001        1   0.000092     <anon>:...perl5/lib/perl5/autodie.pm:2
 0.00    0.0001        1   0.000086     Tie::RefHash::TIEHASH
 0.00    0.0001        1   0.000083     <anon>:...ux-thread-multi/Encode.pm:15
 0.00    0.0001        1   0.000080     <anon>:.../share/perl5/Tie/Hash.pm:188
 0.00    0.0001        1   0.000079     <anon>:...thread-multi/Storable.pm:500
 0.00    0.0001        1   0.000077     <anon>:...l/share/perl5/Carp.pm:171]:1
 0.00    0.0001        1   0.000077     <anon>:...l5/Attribute/Handlers.pm:148
 0.00    0.0001        1   0.000076     <anon>:...perl5/lib/perl5/Fatal.pm:588
 0.00    0.0001        1   0.000076     <anon>:...al/share/perl5/constant.pm:2
